time	ModBonnevilleFlowData
354	5.37E+06
355	8.61E+06
356	7.89E+06
357	1.40E+07
358	3.57E+07
359	2.67E+07
360	1.13E+07
361	7.10E+06
362	5.24E+06
363	5.68E+06
364	7.00E+06
365	8.01E+06
366	9.32E+06
367	6.34E+06
368	7.33E+06
369	1.38E+07
370	2.67E+07
371	3.64E+07
372	2.06E+07
373	8.78E+06
374	9.09E+06
375	1.02E+07
376	9.59E+06
377	7.74E+06
378	5.35E+06
379	6.13E+06
380	8.66E+06
381	1.73E+07
382	2.16E+07
383	2.83E+07
384	1.69E+07
385	7.93E+06
386	5.69E+06
387	5.13E+06
388	5.96E+06
389	4.49E+06
390	5.09E+06
391	1.00E+07
392	9.28E+06
393	1.11E+07
394	2.89E+07
395	3.72E+07
396	1.20E+07
397	7.38E+06
398	4.89E+06
399	5.37E+06
400	4.64E+06
401	4.99E+06
402	5.27E+06
403	5.82E+06
404	6.13E+06
405	1.68E+07
406	2.28E+07
407	2.72E+07
408	1.39E+07
409	8.51E+06
410	5.00E+06
411	6.17E+06
412	7.14E+06
413	7.94E+06
414	5.54E+06
415	9.39E+06
416	7.13E+06
417	1.10E+07
418	2.19E+07
419	2.59E+07
420	1.45E+07
421	7.73E+06
422	5.91E+06
423	4.65E+06
424	5.11E+06
425	4.67E+06
426	4.94E+06
427	4.16E+06
428	5.07E+06
429	9.61E+06
430	2.30E+07
431	4.09E+07
432	2.05E+07
433	9.11E+06
434	6.38E+06
435	6.61E+06
436	6.15E+06
437	1.13E+07
438	9.66E+06
439	9.81E+06
440	9.03E+06
441	1.79E+07
442	2.84E+07
443	3.42E+07
444	1.71E+07
445	1.06E+07
446	6.43E+06
447	6.39E+06
448	5.92E+06
449	5.08E+06
450	5.41E+06
451	4.21E+06
452	6.98E+06
453	1.28E+07
454	2.21E+07
455	2.40E+07
456	1.51E+07
457	7.65E+06
458	5.27E+06
459	4.63E+06
460	5.10E+06
461	6.37E+06
462	6.59E+06
463	6.20E+06
464	6.24E+06
465	7.66E+06
466	2.44E+07
467	4.24E+07
468	1.94E+07
469	8.31E+06
470	5.75E+06
471	5.82E+06
472	6.34E+06
473	5.49E+06
474	6.14E+06
475	8.76E+06
476	9.67E+06
477	7.58E+06
478	2.00E+07
479	2.85E+07
480	1.69E+07
481	8.90E+06
482	7.61E+06
483	7.21E+06
484	7.77E+06
485	6.54E+06
486	8.06E+06
487	5.45E+06
488	7.97E+06
489	2.16E+07
490	3.48E+07
491	2.87E+07
492	1.40E+07
493	6.82E+06
494	5.21E+06
495	5.55E+06
496	5.11E+06
497	4.86E+06
498	8.01E+06
499	7.02E+06
500	7.14E+06
501	7.36E+06
502	2.31E+07
503	3.11E+07
504	1.30E+07
505	6.80E+06
506	4.99E+06
507	4.61E+06
508	5.19E+06
509	5.63E+06
510	9.10E+06
511	1.06E+07
512	8.77E+06
513	1.45E+07
514	3.85E+07
515	3.75E+07
516	1.92E+07
517	1.02E+07
518	6.16E+06
519	5.37E+06
520	5.85E+06
521	5.34E+06
522	7.31E+06
523	7.78E+06
524	2.00E+07
525	1.36E+07
526	3.35E+07
527	4.59E+07
528	2.15E+07
529	1.13E+07
530	6.54E+06
531	6.26E+06
532	5.26E+06
533	5.99E+06
534	6.27E+06
535	4.21E+06
536	6.11E+06
537	6.94E+06
538	1.80E+07
539	1.80E+07
540	1.10E+07
541	6.26E+06
542	4.33E+06
543	4.75E+06
544	8.04E+06
545	9.89E+06
546	1.48E+07
547	9.05E+06
548	1.08E+07
549	1.97E+07
550	2.88E+07
551	4.91E+07
552	2.41E+07
553	1.08E+07
554	5.96E+06
555	5.14E+06
556	4.95E+06
557	5.03E+06
558	6.23E+06
559	5.20E+06
560	7.66E+06
561	8.87E+06
562	2.52E+07
563	3.69E+07
564	2.23E+07
565	9.31E+06
566	6.60E+06
567	7.24E+06
568	8.25E+06
569	1.21E+07
570	9.00E+06
571	6.53E+06
572	7.80E+06
573	1.58E+07
574	3.48E+07
575	2.69E+07
576	2.14E+07
577	1.49E+07
578	9.69E+06
579	5.67E+06
580	4.68E+06
581	4.15E+06
582	4.06E+06
583	3.62E+06
584	4.22E+06
585	6.52E+06
586	1.38E+07
587	1.48E+07
588	7.73E+06
589	6.83E+06
590	4.91E+06
591	4.33E+06
592	5.34E+06
593	1.04E+07
594	6.50E+06
595	5.96E+06
596	9.10E+06
597	1.51E+07
598	2.41E+07
599	2.77E+07
600	1.86E+07
601	8.76E+06
602	8.65E+06
603	6.32E+06
604	5.16E+06
605	4.41E+06
606	3.68E+06
607	5.55E+06
608	8.60E+06
609	9.51E+06
610	2.56E+07
611	1.96E+07
612	1.13E+07
613	6.39E+06
614	4.94E+06
615	4.05E+06
616	3.60E+06
617	4.95E+06
618	5.24E+06
619	5.12E+06
620	7.44E+06
621	1.38E+07
622	3.15E+07
623	2.33E+07
624	1.20E+07
625	6.37E+06
626	5.60E+06
627	5.25E+06
628	5.77E+06
629	9.47E+06
630	8.14E+06
631	8.32E+06
632	7.65E+06
633	1.06E+07
634	2.59E+07
635	2.63E+07
636	1.79E+07
637	9.86E+06
638	5.37E+06
639	5.33E+06
640	6.08E+06
641	6.71E+06
642	6.31E+06
643	1.25E+07
644	1.21E+07
645	1.37E+07
646	2.89E+07
647	3.83E+07
648	2.23E+07
649	1.05E+07
650	7.58E+06
651	7.03E+06
652	6.25E+06
653	6.99E+06
654	9.09E+06
655	9.52E+06
656	1.61E+07
657	1.47E+07
658	2.70E+07
659	2.87E+07
660	1.91E+07
661	1.02E+07
662	6.36E+06
663	5.51E+06
664	9.12E+06
665	6.39E+06
666	9.61E+06
667	7.73E+06
668	1.29E+07
669	1.61E+07
670	2.27E+07
671	3.45E+07
672	1.91E+07
673	9.63E+06
674	6.43E+06
675	5.97E+06
676	6.46E+06
677	5.34E+06
678	4.44E+06
679	4.30E+06
680	6.50E+06
681	1.53E+07
682	2.64E+07
683	2.23E+07
684	1.02E+07
685	6.07E+06
686	5.92E+06
687	6.21E+06
688	7.17E+06
689	4.78E+06
690	6.10E+06
691	1.04E+07
692	1.69E+07
693	1.60E+07
694	2.20E+07
695	2.82E+07
696	1.23E+07
697	6.75E+06
698	5.44E+06
699	5.35E+06
700	5.75E+06
701	4.99E+06
702	4.17E+06
703	4.94E+06
704	9.57E+06
705	1.11E+07
706	2.35E+07
707	1.54E+07
708	9.37E+06
709	5.83E+06
710	4.19E+06
711	3.19E+06
712	3.47E+06
713	3.94E+06
714	3.48E+06
715	3.66E+06
716	5.39E+06
717	1.28E+07
718	1.97E+07
719	1.95E+07
720	1.03E+07
721	5.95E+06
722	4.04E+06
723	4.75E+06
724	5.71E+06
725	4.36E+06
726	4.43E+06
727	3.56E+06
728	9.01E+06
729	1.64E+07
730	2.39E+07
731	2.32E+07
732	1.12E+07
733	7.66E+06
734	5.06E+06
735	4.43E+06
736	7.29E+06
737	6.27E+06
738	6.44E+06
739	4.99E+06
740	6.91E+06
741	1.65E+07
742	2.00E+07
743	2.97E+07
744	1.69E+07
745	8.27E+06
746	4.83E+06
747	4.73E+06
748	9.10E+06
749	6.38E+06
750	6.11E+06
751	7.45E+06
752	7.23E+06
753	1.18E+07
754	2.62E+07
755	2.79E+07
756	2.08E+07
757	9.69E+06
758	4.97E+06
759	3.68E+06
760	4.29E+06
761	4.46E+06
762	3.87E+06
763	5.63E+06
764	7.51E+06
765	1.00E+07
766	1.87E+07
767	1.53E+07
768	9.55E+06
769	5.59E+06
770	3.74E+06
771	4.39E+06
772	4.46E+06
773	3.47E+06
774	3.48E+06
775	3.17E+06
776	8.76E+06
777	1.22E+07
778	2.88E+07
779	1.93E+07
780	1.22E+07
781	8.17E+06
782	4.94E+06
783	4.19E+06
784	3.61E+06
785	3.79E+06
786	4.40E+06
787	3.08E+06
788	6.30E+06
789	1.34E+07
790	2.07E+07
791	1.65E+07
792	1.07E+07
793	5.81E+06
794	3.63E+06
795	3.57E+06
796	3.83E+06
797	4.69E+06
798	5.86E+06
799	1.05E+07
800	1.15E+07
801	1.06E+07
802	2.42E+07
803	2.91E+07
804	1.53E+07
805	8.06E+06
806	5.26E+06
807	6.43E+06
808	1.02E+07
809	1.50E+07
810	9.80E+06
811	1.63E+07
812	1.27E+07
813	2.06E+07
814	2.69E+07
815	3.44E+07
816	2.08E+07
817	9.35E+06
818	5.61E+06
819	5.27E+06
820	5.87E+06
821	7.46E+06
822	1.29E+07
823	1.03E+07
824	1.49E+07
825	1.94E+07
826	4.09E+07
827	4.17E+07
828	2.05E+07
829	1.01E+07
830	7.79E+06
831	9.12E+06
832	7.86E+06
833	5.92E+06
834	6.52E+06
835	6.47E+06
836	9.45E+06
837	1.25E+07
838	3.32E+07
839	2.39E+07
840	1.39E+07
841	7.33E+06
842	5.07E+06
843	4.42E+06
844	5.56E+06
845	7.23E+06
846	8.43E+06
847	6.86E+06
848	1.21E+07
849	1.49E+07
850	2.56E+07
851	3.64E+07
852	2.20E+07
853	1.26E+07
854	5.81E+06
