week	BR75_3	BR75_4	BR75_5	BR75_6	BR85_3	BR85_4	BR85_5	BR85_6	BR95_3	BR95_4	BR95_5	BR95_6	BR105_3	BR105_4	BR105_5	BR105_6	BR115_3	BR115_4	BR115_5	BR115_6
39	1420000	1420000	1370000	1270000	1420000	1170000	1020000	920000	1370000	1120000	970000	820000	1320000	970000	870000	720000	1270000	870000	670000	440000
40	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
41	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
42	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
43	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
44	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
45	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
46	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
47	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
48	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
49	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
50	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
51	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000
52	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000	1420000

