week	MilnerObsNatFlowData
612	739574
613	536374
614	459007
615	500874
616	467507
617	484274
618	458274
619	428574
620	512074
621	821107
622	2385470
623	2570310
624	1977070
625	933374
626	734407
627	731074
628	606607
629	578674
630	565974
631	488274
632	622674
633	808707
634	2063970
635	2623410
636	1638670
637	932274
638	727707
639	800774
640	751407
641	668974
642	596374
643	510315
644	562574
645	902507
646	2560670
647	2657310
648	1566270
649	923474
650	758907
651	707274
652	638707
653	605174
654	567374
655	492474
656	545874
657	1129910
658	2030470
659	1346310
660	808574
661	592374
662	581707
663	594474
664	553207
665	538674
666	521874
667	556474
668	845374
669	1483810
670	2182870
671	3112110
672	1358570
673	863574
674	746007
675	687774
676	602507
677	532574
678	521874
679	469674
680	545174
681	847007
682	1334970
683	939007
684	696874
685	532174
686	442107
687	443874
688	433107
689	437774
690	426974
691	376108
692	441574
693	825307
694	1362570
695	1159710
696	587774
697	467674
698	403507
699	427874
700	447407
701	415574
702	419674
703	373174
704	511674
705	973907
706	1840270
707	1700110
708	937274
709	647374
710	542107
