month Week_Number Release
1 1 23000
1 2 23000
1 3 23000
1 4 23000
1 5 23000
2 6 12500
2 7 12500
2 8 12500
2 9 12500
3 10 0
3 11 0
3 12 0
3 13 0
4 14 0
4 15 0
4 16 0
4 17 0
5 18 0
5 19 0
5 20 0
5 21 0
5 22 0
6 23 0
6 24 0
6 25 0
6 26 0
7 27 0
7 28 0
7 29 0
7 30 0
8 31 0
8 32 0
8 33 0
8 34 0
8 35 0
9 36 8750
9 37 8750
9 38 8750
9 39 8750
10 40 13000
10 41 13000
10 42 13000
10 43 13000
10 44 13000
11 45 26250
11 46 26250
11 47 26250
11 48 26250
12 49 32500
12 50 32500
12 51 32500
12 52 32500
