Week_Number Storage 
1 0 
2 0 
3 0 
4 0 
5 0 
6 0 
7 0 
8 0 
9 0 
10 0 
11 0 
12 0 
13 0 
14 45000 
15 45000 
16 45000 
17 45000 
18 36000 
19 36000 
20 36000 
21 36000 
22 36000 
23 295000 
24 295000 
25 295000 
26 295000 
27 45000 
28 45000 
29 45000 
30 45000 
31 36000 
32 36000 
33 36000 
34 36000 
35 36000 
36 0 
37 0 
38 0 
39 0 
40 0 
41 0 
42 0 
43 0 
44 0 
45 0 
46 0 
47 0 
48 0 
49 0 
50 0 
51 0 
52 0 
