"Week" "Month" "Day" "Year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "COLFA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "PALIS" "MILNE" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
11 10 14 1979 58003.079520176 79919.8903896602 99112.0109988077 8848.52268023014 35110.1673082088 35862.9612469861 52666.0927091324 11138.7138565389 1964.17779782211 16121.9431448834 94254.2876187612 98587.3028772381 123061.328111177 132695.88907397 313414.353311785 359144.434893795 369155.884201697 381470.066461585 389152.710748848 387569.662138864 388037.990982243 35957.1938613511 111377.419061786 289290.657667345 288666.597488553 287368.200461587 5944.49902062188 391769.545690422 392164.084686435 358133.402093789 359834.655900165 784423.828942275 855367.752042632 940804.400304028 924071.56569083
12 10 21 1979 60265.3784159472 82961.58779634 126255.049860042 20019.0820824951 41977.9300913851 47941.9871568707 79028.1019550559 22841.9122663456 3880.1578840927 25794.9410079748 107237.918516004 111978.038340501 131609.79733712 139875.807046995 341029.134705546 366957.61981677 378873.008355068 369956.673190893 369821.135737839 354472.964751642 350426.371457726 52517.8452261657 139971.025492876 338526.851694385 336794.127813188 330867.06141499 19478.5431986506 466830.72044124 452530.514706812 410058.371988142 400285.413467659 736870.937794898 781772.824100152 868716.527055181 848390.665406945
13 10 28 1979 58776.655389958 79896.0011510553 136341.58429894 21925.4178148669 49508.2895386599 67593.136912638 109885.170719613 33285.8876788461 6585.71037976695 34635.5752285234 128737.844326818 137958.514022349 173137.070248261 185840.793117944 468859.656108623 520072.689479368 567729.316732403 568055.889447743 575570.271259861 557847.487425116 555610.865208966 68454.9554491171 194979.656388678 533187.162133495 533804.903804858 530246.461555092 33851.5946390708 735792.769135961 729088.213898373 670934.956780659 665773.1917298 1208992.33208911 1256896.54981828 1391118.12072653 1347699.89360308
14 11 4 1979 66887.858907569 76623.9207785136 161638.485640246 15961.9713031279 44465.0832809458 55675.8605724353 115325.357213154 23804.8122852476 4084.07210946316 29575.2139883127 133231.823249097 138076.238683586 175150.018599705 186654.159396848 601699.955720771 669711.263627961 723819.271695113 726820.470849272 737461.813795812 719097.579163659 709411.702327261 44046.2804508774 128885.852184197 337133.045700246 337935.768450544 338620.587264409 16931.6773303238 558666.162481483 570044.575837741 532135.314843578 543192.877887298 1402731.0853931 1437554.22120225 1540844.50150238 1555145.43902789
15 11 11 1979 61309.6317813178 54856.1712060431 65059.8421753818 7313.04656157483 28107.8546592806 31464.4768589213 54526.6618005745 13819.78894859 2933.89274258362 19894.3116957725 115258.711125758 113583.206496715 135965.263703945 142703.521129224 323298.461485015 361751.867767525 381019.209548902 396458.598860347 410087.044596713 412418.041486959 415336.618994808 40686.3159318121 101058.074256967 285563.992906068 285610.930909101 284536.863344246 8085.29445978247 454200.564068515 451443.148129462 407313.530138061 405441.341308654 1068645.51483088 1154118.55846316 1264052.92816372 1355748.4109417
16 11 18 1979 59782.1002882213 53001.2699098181 55841.1490369891 6455.04472256376 25120.6112665083 26538.5837740131 43896.2838566052 13843.3075196035 2851.12704833371 18786.2755516603 110161.399517206 108154.105035856 128335.121496317 134511.519921726 266715.190826453 290483.202177276 299838.452174116 303272.477732445 309746.346632169 302015.320946536 297665.382057996 37325.326865831 84442.4168441613 249099.401964219 249566.771446042 249752.220154637 7122.51771731342 405938.608103576 403694.364345746 363733.813813955 362867.725323903 789539.910431564 813995.517385051 881229.835721258 925121.610825614
17 11 25 1979 59049.5911737012 52434.4797581772 57101.7845249759 6837.66972405004 24356.6126900655 27143.1540520329 45798.1172479548 14029.476260703 3082.468566568 19769.2667163302 113170.259730274 111610.10423322 132609.016827034 138570.418167865 280090.093846321 301879.536185474 304861.166806036 303236.315869306 307348.413957432 296621.246412086 293257.429228127 35183.208453102 85662.0682842685 248297.228600909 248478.074282236 247799.02412101 10056.0794426665 437106.532478634 434381.838757363 399475.45569456 396931.701961878 809344.764139762 868537.993428357 949398.253317749 980392.47667856
18 12 2 1979 54369.8363600968 50115.6805956441 56038.1262094948 6426.85499964425 23910.5465322039 25857.2416992661 45485.9712577186 13014.0698324137 3107.05585500804 18543.3047278491 111108.862554873 111197.226990019 121200.153604505 125670.323272005 262068.783410317 287997.220134583 290380.372679451 294889.098511449 300560.370120828 294078.828092731 291015.924591914 33551.0101375467 76668.0708261737 246825.324788654 247061.753371749 249400.366312297 6618.71830106046 386095.880488399 385496.850465651 349593.269900298 349697.002411631 736856.731174266 777971.954644937 834359.793908404 867065.203872062
19 12 9 1979 45619.9083730441 46431.7392077911 75140.1315904246 15034.7024205706 37638.2523112244 47214.202362203 84413.3396350008 29246.3448858616 9936.0051363892 38379.9767398718 165760.223695092 173262.135545669 145134.590837248 142631.135855026 339989.755648358 361107.127392017 367210.216822318 365433.760444845 370055.878992334 356366.672201118 354336.521836581 42491.2187165718 86395.609149813 345641.532222982 344774.503825997 352272.016890359 48044.1362965474 498356.784561972 488117.54120324 470526.024914815 459747.718404861 851184.468282222 926759.114009902 1014897.68880715 1021651.13619007
20 12 16 1979 46125.5758356793 47530.428562839 85502.2473192014 18673.7467308735 48515.2191710509 60892.6395907631 116415.157782499 35462.7792364182 8931.53322553553 40419.2576556493 160241.604362967 169823.248931164 156574.019330787 157856.189224975 472816.967586434 521351.439682433 538555.120801663 547212.289540342 560901.113792786 547641.270744259 584090.633127372 38577.1154821548 79935.2033467933 315738.747711463 316998.001704217 329801.096724467 26948.6759153633 492262.612160081 498047.492981636 480860.755849285 488239.622696072 1110948.0285098 1169591.86342899 1219584.00683894 1240509.29290945
21 12 23 1979 44394.4563846984 45325.6092348136 66570.5129125633 12846.6632324559 38411.5497828561 48714.7903301235 91171.2438710987 33733.8219702526 12355.9363945259 37827.5884390466 150058.004886464 157672.570116667 142412.478996243 142105.53371247 419175.381038633 464299.945504743 484935.667788172 514520.10870666 552250.497122232 545382.910264463 567191.147918873 40816.1648175333 76439.9281559685 289574.056919142 289670.031310142 299153.037388931 41170.6829587288 467895.856394152 462389.5438446 430989.143031617 427027.71837826 1118160.80419433 1150774.49630339 1199327.16779457 1256031.89402055
22 12 30 1979 43763.8575754713 45175.3518155049 63321.6311850351 7144.24801434963 27146.3332834464 37292.2280807456 76559.7315200072 21171.6053380698 8352.33951672256 26485.8008780288 135617.975831079 145384.828329518 145521.641998369 147262.685201999 416161.454224734 469020.801267239 483132.148823285 504789.085668836 526462.835758456 521714.097940246 537442.007710375 37383.7546994056 79775.8844649943 306671.640344435 307028.034316427 316942.454650823 25290.1930617727 449030.401262513 449536.73541119 422002.500237051 423819.391171991 1039195.95567247 1087722.19891539 1125784.46493962 1160441.37601995
23 1 6 1980 40611.7398185972 44313.8244132449 73054.4792118469 7612.98304549571 33264.8693207679 43874.6765843129 69857.210219159 18642.9202029907 8078.55628895942 25350.1863704886 101229.929039037 100947.450719223 125638.738072395 136392.97634481 343935.23591884 383556.81176173 398222.494361429 405709.438856841 430537.466236634 434990.042805878 439085.87553464 36007.4972960566 75071.7887567218 242606.044446998 242759.378026944 248966.177982314 21773.7848575765 402436.517108095 407327.880926036 385742.871323651 387939.435685461 956695.44573818 1046811.07228688 1124886.53173408 1203669.75272987
24 1 13 1980 39759.2331712805 43826.2015826171 73900.9598622962 7011.13409836712 32680.8953573984 43639.106494199 67618.2760134417 17956.3167615462 7807.9270943511 24649.4322786988 93110.4005319434 91462.9850096234 118843.072342821 130606.515153768 323633.707025637 359170.773219492 371309.320320501 373479.744785018 396425.356052838 398839.470295402 397278.26279033 35771.7520947867 77327.5049839338 238640.620156641 238445.442477301 243105.531180078 17299.6418669752 388085.568839074 392334.895586248 369242.002187667 370636.092947564 879267.460908774 952866.988628039 1026434.37540553 1091175.38700865
25 1 20 1980 39250.7989526204 43280.027802082 72738.1562156535 5835.67465456278 31154.976074873 42577.80778053 65338.7209491742 17095.0826168282 7232.25495394818 23268.752031487 90041.4860278234 88466.8181471316 114771.481032004 125939.133376169 310259.401598341 342361.422835455 352554.736976677 352346.015872954 373664.040463476 374689.465828863 370318.063498903 38226.1626939038 137865.480874896 469945.122551805 467513.98267479 468901.371121828 16639.5406801064 592394.658303951 574748.32218474 515078.832325686 495605.211410705 979842.801147966 1158111.01816501 1416645.1154617 1456362.13617274
26 1 27 1980 38751.2290010713 42721.9674161194 71600.5558823758 4850.38161083732 28855.2475772389 38456.0867104743 59289.2885595447 16193.0329026182 6655.80756932972 22186.9665007777 86292.0453743218 84505.0035044454 109603.485178955 120456.794334986 284532.373803662 316201.087882175 326943.097144032 328516.425408901 349478.944062521 351972.235657751 346766.817072945 34607.9720051807 78644.455261738 327431.6346556 329790.4145644 341773.571050861 13491.6894370603 551299.826210889 574365.686620177 553774.091014998 570774.081845855 1066055.95527634 1228691.92390476 1387113.55152829 1466543.4007921
27 2 3 1980 36746.8310814138 42156.1360705503 73212.9945257588 5492.2430475019 26977.1966545952 33918.8944189717 56021.2342136263 15167.5322765181 5855.35149777352 20503.5331072162 84586.6002952572 84004.0496976882 110413.520528531 111339.642521051 257233.989229046 287775.107062945 296473.798413788 300263.83505183 316254.629401194 317621.202520509 306415.605831276 33199.1054384533 64179.2539628326 251958.327057761 252203.850129023 260611.329766682 10629.5540646118 423248.087422514 428699.88016355 387333.322590437 390469.705004722 776491.951527494 846488.219683677 946145.53464552 1028214.07939193
28 2 10 1980 34302.6471680263 41634.6515507607 76030.5852820776 6188.10238123517 27800.0196646765 32584.8463064793 57134.9661810542 14522.7260059452 5255.8035414171 19970.9702805293 87210.2670667571 88194.3645641337 116983.078296139 104839.08405041 240283.596836863 271289.472138342 279887.132142633 286710.378049863 297373.761657372 297198.650841082 278811.18806164 31931.8486062274 58921.5434167581 231406.745304231 230938.19071509 242265.220597097 14627.1875581931 455948.818010611 461547.397464191 401783.023563982 403246.582759637 726894.527823218 785168.524312789 852809.560340802 943643.072084142
