time	ModMcNaryFlowData
532	4600670
533	4989160
534	5367040
535	3728450
536	5408970
537	6372730
538	17541200
539	17718100
540	10713200
541	5977220
542	3940160
543	4198300
544	6811430
545	7942810
546	12721300
547	7949480
548	9735010
549	18735900
550	28355900
551	49237400
552	23734900
553	10323900
554	5506420
555	4559800
556	4295850
557	4206260
558	4728390
559	4295950
560	6462490
561	7985940
562	24669700
563	36645900
564	21651500
565	8911630
566	6125230
567	6643880
568	7339090
569	10655100
570	7416020
571	5623530
572	6646990
573	15030700
574	34726300
575	26872600
576	21201600
577	14696300
578	9278270
579	5115070
580	4096390
581	3552800
582	3435230
583	3293730
584	3685350
585	6096750
586	13451000
587	14493900
588	7477710
589	6507350
590	4598750
591	3872780
592	4488030
593	8293200
594	5338920
595	5005340
596	8269650
597	14401400
598	23725700
599	27360600
600	17912800
601	8324300
602	8176320
603	5802120
604	4679320
605	3717670
606	3287990
607	4268690
608	7085510
609	8128360
610	24600300
611	19147000
612	10898400
613	6052430
614	4488280
615	3574580
616	3124820
617	4188530
618	4113050
619	3994000
620	5975320
621	12653700
622	30713600
623	22956800
624	11505500
625	6123840
626	5276170
627	4775440
628	5141560
629	8086600
630	7479470
631	6996520
632	6635010
633	9579570
634	25323600
635	26026500
636	17749700
637	9716530
638	5171830
639	4995660
640	5449390
641	5300080
642	4825980
643	10210000
644	10622400
645	12167400
646	28128300
647	37906400
648	21730400
649	9911560
650	7064640
651	6330150
652	5328710
653	5508000
654	7219400
655	7636200
656	13919900
657	13261300
658	25996800
659	27949700
660	18459600
661	9708580
662	5808640
663	4922550
664	7900570
665	5201230
666	8017400
667	6338970
668	10775100
669	14528800
670	21483200
671	33854200
672	18406800
673	9034800
674	5725330
675	5206480
676	5197420
677	4215360
678	3631290
679	3389540
680	5185370
681	13599800
682	25623500
683	21238600
684	9723880
685	5554990
686	5327610
687	5538310
688	6386010
689	4075420
690	4925850
691	8373230
692	14964100
693	15075400
694	21858500
695	27787000
696	12213200
697	6630640
698	5064930
699	5028030
700	5074610
701	4373640
702	3608480
703	3845370
704	8018990
705	10464300
706	22952000
707	15128400
708	9066230
709	5517110
710	3890120
711	2806190
712	2939240
713	3225950
714	2857670
715	2920620
716	4540980
717	11882300
718	19020100
719	18957000
720	9916650
721	5640100
722	3736000
723	4341220
724	4950500
725	3897060
726	3563940
727	2965550
728	7452130
729	14733100
730	22806000
731	22691100
732	10896600
733	7357770
734	4746730
735	3957150
736	6785080
737	5762100
738	5584690
739	4269090
740	6043350
741	15741000
742	19408200
743	29569500
744	16677500
745	8048220
746	4490660
747	4327810
748	8655290
749	5843720
750	4997460
751	6527890
752	6310030
753	11040600
754	25729300
755	27877000
756	20406500
757	9446540
758	4807690
759	3398960
760	3804030
761	3797610
762	3410150
763	4674790
764	6754370
765	9330870
766	18236300
767	14786900
768	8869600
769	5106830
770	3575640
771	4078730
772	3968580
773	3123790
774	3069720
775	2706780
776	6800890
777	10410600
778	28151500
779	18862100
780	11768300
781	7859770
782	4699900
783	3863730
784	3171890
785	3531540
786	3757260
787	2661460
788	5443280
789	12722900
790	20123500
791	16087200
792	10271500
793	5451050
794	3404270
795	3159470
796	3044040
797	3697790
798	4663340
799	8373670
800	10022700
801	9677240
802	23229600
803	28669900
804	14559200
805	7460390
806	4973500
807	6019160
808	9427440
809	13832600
810	8358170
811	13657200
812	11035300
813	19533800
814	26148700
815	34144500
816	20562100
817	8936540
818	5210300
819	4639410
820	4912180
821	5737180
822	10659400
823	8773760
824	13316300
825	18171600
826	40547800
827	41448400
828	20272300
829	9734830
830	7216970
831	8290310
832	6730720
833	5175660
834	5146880
835	5353700
836	7980460
837	11441300
838	32263500
839	23082800
840	13279300
841	6610390
842	4567510
843	3739350
844	4546780
845	5683120
846	7055850
847	5677510
848	10679600
849	13872600
850	24567100
851	35499200
852	21425200
853	12434200
854	5476690
