"Week" "Month" "Day" "Year" "ALBEN" "ARROW" "BONFE" "BONNE" "BOUND" "BROWN" "CABIN" "CHIEF" "COLFA" "CORRA" "DALLE" "DUNCA" "DWORS" "FLAPO" "FLASF" "GCOUL" "HCANY" "ICEHA" "JDAYY" "LIBBY" "LGOOS" "LGRAN" "LMONU" "MCNAR" "MICAA" "MILNE" "NOXON" "OXBOW" "PALIS" "PRIRA" "REVEL" "RISLA" "ROCKY" "WANAP" "WELLS"
1 8 5 1979 207.852936020369 158.011383095534 16.5683895999393 5205.28057167102 10.0664647076754 96862.5875693819 0 234.199360941851 0 1555.45723132638 12614.2452865274 0 0 2209.7753646702 0 48565.2727870262 1127.78605933068 1302.50620888148 14539.8503098045 374.394839861603 14.7877932874196 18572.974160249 1232.90138522957 43192.0981491098 20.5143002107627 79837.8174848949 18576.8273560316 0 2034.77688572141 2426.85858619167 0 2625.0679548245 1810.48707186914 662.292886713615 10887.4242232055
2 8 12 1979 173.88963400246 181.110884931464 44.1768673609147 5586.94823849499 10.0664647076754 68556.782238846 0 323.07279991233 0 1653.2476787253 13132.1732488494 0 0 2101.28557372661 0 37632.8572067253 456.977345097829 1209.10559757612 10189.3994108043 206.842762211176 40.5890779133417 14973.6088042387 1019.14229860154 37520.2141610991 20.7521629991264 56470.3924076789 19545.9812075189 0 734.185672121207 1894.33008684972 0 2280.91567731414 2083.43768163334 505.08865552209 9986.1614629702
3 8 19 1979 128.831878481514 66.082170259147 33.2936690091978 2849.86473302297 10.0664647076754 15845.9150849952 0 195.678485184013 0 764.576758079801 7529.46242449216 0 0 1359.07058715137 0 18675.6901234579 164.342134001405 571.76667559345 4943.02075195746 133.771201955236 14.7877932874196 5239.2193081023 561.663662142413 25279.6434205847 51.0638636561997 20197.9033373497 15811.5067953727 0 314.081155774679 1365.93777977417 0 2273.03901463888 1772.03323581261 477.244947113816 6909.26953623825
4 8 26 1979 128.831878481514 15.3751193608293 16.6468345045989 627.038663421291 10.0664647076754 27073.6495838926 0 136.737406388091 0 1285.57477761008 4159.35603993564 0 0 1126.7947229018 0 27461.4055611046 774.670322157759 288.745560733743 8075.75950515191 71.2891212969511 14.7877932874196 7490.0047171345 521.26810596981 30515.3444607498 20.3438910783182 28976.8456659589 13747.4752095863 0 1016.35585947309 1459.43561625164 0 1425.99098973262 1634.00883762691 314.483215132432 5952.80942073062
5 9 2 1979 133.094485385926 63.6305721869375 33.2936690091978 1148.45605405959 6.09185755968955 32805.7737772442 0 163.021385262454 0 594.370808501164 4436.5157082825 0 0 1221.21388901918 0 28073.8755905136 787.947054525239 1014.07636615702 8275.58711153546 141.675834782006 21.5486208385416 10462.0733231971 429.240345644711 31755.402396805 20.3438910783182 22786.142626127 15824.9441695099 0 1215.16995764466 915.055463912532 0 1696.194253231 1162.65679526106 324.971769262463 4532.11460777097
6 9 9 1979 96.3248823145432 0 0 360.993596871898 6.09185755968955 57910.2112304597 0 89.5840966901624 0 0 5868.53025607786 0 0 682.750739823565 0 18872.9500386966 423.135325289718 74.7854641615323 4001.36213752165 86.9748275022025 15.0982996820611 11125.0707403659 423.853591405535 14208.7956666234 0 18618.8505913512 12340.8348133217 0 2206.14052731281 833.66525871168 0 900.970272653021 481.892246871479 354.819280606562 2818.95330168626
7 9 16 1979 90.093482121656 15.3751193608293 0 2464.02974564066 6.09185755968955 56911.9468139233 0 147.125771791113 0 38.8380817433203 8181.46996892252 0 0 822.734603688813 0 25539.3132707231 157.763121442345 555.485648153663 4785.52426863735 121.687381443432 8.64797852558058 8523.32772621882 606.730040315063 18187.8545808114 0 9934.58977220041 8386.06901946483 0 1239.56705298764 1087.4647459024 0 1803.56339514287 1173.89522599636 255.760707646272 3556.99228472498
8 9 23 1979 90.093482121656 48.7575438821994 0 4052.97237957249 6.09185755968955 39911.9060515565 0 183.266026345477 0 256.430745183208 5010.98120290477 0 0 619.91900172668 0 18457.7823635472 540.751078066328 605.020782223099 4191.28344116539 53.01578670467 8.64797852558058 9152.91254577141 553.262383217374 24075.252383538 0 13887.6532405788 14244.9884354967 0 1658.76851236401 1077.07258180795 0 1750.82982385297 950.613319297532 486.462695261326 5588.48064385049
9 9 30 1979 90.093482121656 64.1326632430287 0 2064.42667843204 6.09185755968955 28355.7223879555 0 75.3874070935433 0 142.923163625109 2946.98696183361 0 0 83.2562690905355 0 13404.9056025189 508.281732650325 363.070821647282 4731.89211452188 29.7063315546018 27.9989419950222 11510.4852526846 528.257012677197 23547.2083540248 0 17780.8433573014 12346.2102629401 0 1888.04293827485 883.34711927382 0 981.335021819804 1113.20393414443 244.567911801835 4813.65614737286
10 10 7 1979 69.7082952902905 64.1326632430286 0 2787.42541906785 4.33656216962156 6668.11180442264 0 112.070244060055 0 15.5021676677447 854.213494207226 0 0 36.3540701990794 0 6021.52086321086 8.44118393877462 34.7105681259036 1749.20474708411 6.62965088853722 5.29391773392323 2048.24663261065 196.832471348514 8659.5585058427 0 3123.38487965983 1903.95769199882 0 274.441469065161 434.935466275243 0 1064.43530619625 748.782317626297 148.755873768449 2822.94047413154
