WEEK	ModPriestRapidsFlowData
354	2.15E+06
355	3.12E+06
356	3.65E+06
357	6.59E+06
358	2.35E+07
359	1.85E+07
360	8.60E+06
361	5.15E+06
362	3.37E+06
363	3.53E+06
364	3.49E+06
365	3.64E+06
366	4.15E+06
367	2.61E+06
368	3.48E+06
369	8.12E+06
370	1.88E+07
371	2.76E+07
372	1.69E+07
373	6.83E+06
374	6.76E+06
375	6.63E+06
376	5.78E+06
377	4.56E+06
378	2.71E+06
379	2.87E+06
380	3.95E+06
381	1.02E+07
382	1.46E+07
383	2.15E+07
384	1.44E+07
385	6.16E+06
386	3.88E+06
387	3.20E+06
388	3.16E+06
389	2.22E+06
390	2.36E+06
391	4.50E+06
392	4.35E+06
393	6.49E+06
394	2.16E+07
395	2.92E+07
396	9.78E+06
397	5.75E+06
398	2.98E+06
399	3.20E+06
400	2.16E+06
401	2.00E+06
402	1.90E+06
403	2.54E+06
404	2.43E+06
405	9.10E+06
406	1.51E+07
407	1.98E+07
408	1.10E+07
409	6.55E+06
410	3.21E+06
411	3.44E+06
412	3.76E+06
413	3.69E+06
414	2.65E+06
415	3.93E+06
416	3.56E+06
417	6.06E+06
418	1.46E+07
419	1.87E+07
420	1.16E+07
421	5.71E+06
422	3.97E+06
423	2.72E+06
424	2.61E+06
425	2.27E+06
426	2.08E+06
427	1.67E+06
428	2.09E+06
429	4.57E+06
430	1.52E+07
431	2.87E+07
432	1.65E+07
433	7.05E+06
434	4.35E+06
435	4.50E+06
436	3.36E+06
437	3.84E+06
438	3.06E+06
439	3.13E+06
440	3.68E+06
441	9.10E+06
442	1.77E+07
443	2.33E+07
444	1.26E+07
445	7.66E+06
446	3.61E+06
447	3.43E+06
448	3.31E+06
449	2.51E+06
450	2.41E+06
451	1.93E+06
452	3.14E+06
453	7.51E+06
454	1.67E+07
455	1.98E+07
456	1.30E+07
457	6.14E+06
458	3.56E+06
459	2.69E+06
460	2.60E+06
461	3.15E+06
462	3.12E+06
463	2.94E+06
464	3.20E+06
465	4.35E+06
466	1.66E+07
467	3.30E+07
468	1.61E+07
469	6.57E+06
470	3.98E+06
471	3.30E+06
472	3.43E+06
473	2.52E+06
474	2.81E+06
475	3.68E+06
476	5.32E+06
477	4.11E+06
478	1.50E+07
479	2.25E+07
480	1.45E+07
481	6.88E+06
482	5.32E+06
483	4.31E+06
484	4.12E+06
485	3.34E+06
486	3.21E+06
487	2.44E+06
488	3.50E+06
489	1.24E+07
490	2.35E+07
491	2.20E+07
492	1.12E+07
493	5.01E+06
494	3.45E+06
495	3.44E+06
496	2.90E+06
497	2.35E+06
498	2.34E+06
499	2.45E+06
500	2.95E+06
501	3.78E+06
502	1.48E+07
503	2.10E+07
504	9.32E+06
505	5.06E+06
506	2.68E+06
507	2.39E+06
508	2.09E+06
509	2.15E+06
510	2.68E+06
511	4.55E+06
512	3.46E+06
513	6.99E+06
514	2.49E+07
515	2.51E+07
