time	ModWellsFlowData
532	2218970
533	2345520
534	2343400
535	1805290
536	2886620
537	3712530
538	12362500
539	13799700
540	8770560
541	4755520
542	2653540
543	2467560
544	3509550
545	4197710
546	6847590
547	4210500
548	4432390
549	10105100
550	17846100
551	32411900
552	17436300
553	7951120
554	3871310
555	2147430
556	2353020
557	2149040
558	1961390
559	2076090
560	3281750
561	4233510
562	15409500
563	23490200
564	14662100
565	6063650
566	3919390
567	3592120
568	4129770
569	4853400
570	3382010
571	3154150
572	3532970
573	7939200
574	22782700
575	17972400
576	17049800
577	11875900
578	6812910
579	3063730
580	2065970
581	1728000
582	1785670
583	1612820
584	1741390
585	3605540
586	9725680
587	11223600
588	5840200
589	5102230
590	3132280
591	2110680
592	2252340
593	3487100
594	2396980
595	2068840
596	3799180
597	7890760
598	15452400
599	19115200
600	13273300
601	6259450
602	6159890
603	3592040
604	2669120
605	1737470
606	1648700
607	1836620
608	3072710
609	4112810
610	15781900
611	14018400
612	8558220
613	4502890
614	3055820
615	1925430
616	1313940
617	2054980
618	1754150
619	1652330
620	2605320
621	8028900
622	21448100
623	15438200
624	8134970
625	4280780
626	3518750
627	3112620
628	3012440
629	4536660
630	4045300
631	3446880
632	3693770
633	5936900
634	18961200
635	18304800
636	14792700
637	8066250
638	3891690
639	3172400
640	3207210
641	2689670
642	2215270
643	4338040
644	4843490
645	5300590
646	16628300
647	25250800
648	15042100
649	7570550
650	5088460
651	3555440
652	3032120
653	2737830
654	3262740
655	3316410
656	6066920
657	6991330
658	16162400
659	18193100
660	13830800
661	7365160
662	3855960
663	2565440
664	4497890
665	2461760
666	3483390
667	2640510
668	4066540
669	6732940
670	10661000
671	20817600
672	12823000
673	6426320
674	3604260
675	2650040
676	2600320
677	1858220
678	1513860
679	1294970
680	2128570
681	6591790
682	17558100
683	15322100
684	7622290
685	3936750
686	3297370
687	3531990
688	3849080
689	2299790
690	1928280
691	2718960
692	6382330
693	7504340
694	13900400
695	19343100
696	9605010
697	4986150
698	2805690
699	2532360
700	2593300
701	2059960
702	1573130
703	1634200
704	4453030
705	6886460
706	17159100
707	12233900
708	7324780
709	4118710
710	2757430
711	1562650
712	1518040
713	1690160
714	1388010
715	1369070
716	2320150
717	7816710
718	13697900
719	14590400
720	7986630
721	4496570
722	2723370
723	3049950
724	3103260
725	2303330
