week	GCBdgtForVB
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	2449750
29	4899500
30	7349250
31	9799000
32	9242250
33	8685500
34	8128750
35	7572000
36	6667000
37	5762000
38	4857000
39	3952000
40	3161600
41	2371200
42	1580800
43	790400
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
