time	ModRockyReachFlowData
532	2509040
533	2433520
534	2411260
535	1678740
536	2772670
537	3764390
538	12596500
539	13850800
540	8625300
541	4542700
542	2567650
543	2451640
544	3501360
545	4100550
546	6670270
547	4015540
548	4328390
549	9946380
550	18191900
551	33851000
552	18393800
553	7754200
554	3833980
555	2074110
556	2220440
557	2056560
558	1910940
559	1792160
560	2980880
561	4032180
562	15725300
563	23971300
564	14943100
565	6311570
566	3892290
567	3591330
568	4384700
569	5357810
570	3479870
571	2769770
572	3090790
573	7699870
574	22709400
575	18118100
576	17407100
577	12288200
578	6812670
579	3304450
580	2144420
581	1732590
582	1760850
583	1508190
584	2044370
585	4016770
586	10176500
587	11804400
588	6340180
589	5329370
590	3230730
591	2109850
592	2202640
593	3601000
594	2410710
595	2056590
596	3979900
597	8013820
598	15750600
599	19862000
600	13424900
601	6221140
602	6001850
603	3598460
604	2770450
605	1888140
606	1463890
607	1850150
608	3337190
609	4201110
610	16116200
611	14316000
612	8790540
613	4619990
614	3137510
615	2043380
616	1484950
617	2341040
618	1946570
619	1887090
620	2847930
621	8298010
622	21849600
623	15835800
624	8540260
625	4494490
626	3588520
627	3126780
628	3027810
629	4600430
630	4217660
631	3499480
632	3726430
633	5978970
634	19259000
635	18718600
636	15102600
637	8127170
638	3844800
639	3218210
640	3386130
641	2687640
642	2155540
643	4470630
644	4969830
645	5764900
646	17129400
647	26304700
648	15672200
649	7621540
650	5114760
651	3485430
652	2913080
653	2642060
654	3127260
655	3171400
656	6246120
657	7293400
658	16733900
659	18581100
660	13892700
661	7212560
662	3713720
663	2628190
664	4776630
665	2528410
666	3624880
667	2768690
668	4229240
669	6893750
670	10858200
671	21613300
672	13360100
673	6627170
674	3733350
675	2722490
676	2617370
677	1901640
678	1587730
679	1407990
680	2304640
681	6780360
682	18076600
683	15779000
684	7731010
685	3969880
686	3323640
687	3674680
688	3941220
689	2340930
690	2087750
691	2796790
692	6452730
693	7589320
694	14235400
695	19640900
696	9626760
697	5169270
698	2933240
699	2649000
700	2736860
701	2138940
702	1639100
703	1711780
704	4544990
705	7054080
706	17640400
707	12574600
708	7463620
709	4182120
710	2764280
711	1549200
712	1531710
713	1707090
714	1409420
715	1370260
716	2333690
717	7802580
718	13865200
719	14770800
720	8015060
721	4405830
722	2581630
723	2973730
724	3057140
725	2184240
726	1978880
727	1549270
728	3074310
729	8306160
730	15962600
731	17190400
732	8723330
733	5782200
734	3338640
735	2410090
736	4838790
737	3790830
738	3599940
739	2496100
740	3326690
741	10448400
742	14352600
743	23354100
744	14304700
745	6579100
746	3193390
747	2621340
748	5846410
749	3761490
750	3000200
751	3901190
752	3705000
753	7785410
754	19456700
755	21689300
756	16995900
757	8004460
758	3445890
759	2014830
760	1982750
761	1878590
762	1773320
763	2397650
764	3867810
765	6417720
766	13853300
767	12665800
768	7338060
769	4115680
770	2574820
771	2863890
772	2418850
773	1759960
774	1669560
775	1348600
776	2736930
777	5532330
778	18574600
779	11933200
780	9155510
781	5932360
782	3309660
783	2398830
784	1851710
785	1999300
786	2086200
787	1508580
788	3020000
789	8896490
790	15285000
791	13134500
792	8856850
793	4442980
794	2495380
795	1888640
796	1643460
797	2032910
798	2429380
799	4242430
800	5529500
801	5454890
802	14738800
803	19955700
804	10501700
805	5796340
806	3566210
807	4088780
808	5872250
809	7583900
810	4153330
811	6076670
812	5235080
813	11207400
814	16424200
815	24038000
816	16378700
817	6997200
818	3753290
819	3186610
820	2872690
821	2810910
822	3920670
823	3216410
824	6063910
825	9788220
826	26611500
827	28591100
828	15569100
829	7381050
830	5314990
831	6033940
832	4180120
833	2973530
834	2819010
835	2928800
836	4266690
837	6849150
838	21546400
839	15197200
840	9907200
841	5216510
842	3092560
843	2139790
844	2558670
845	3007280
846	3422530
847	2888470
848	4895350
849	7818430
850	15877400
851	24210400
852	16994000
853	9917080
854	3758940
