week	LowerLimit
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	6878900
24	6878900
25	6878900
26	6878900
27	6878900
28	6222500
29	6222500
30	6222500
31	6222500
32	5595200
33	5595200
34	5595200
35	5595200
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
