time	ModRockIslandFlowData
532	2583580
533	2552620
534	2532240
535	1902420
536	2884510
537	3939300
538	12942400
539	14177100
540	8792720
541	4603700
542	2607870
543	2528330
544	3603330
545	4208720
546	6880380
547	4193620
548	4766370
549	10467800
550	18687400
551	34422000
552	18598300
553	7986450
554	3829660
555	2293520
556	2210790
557	2178550
558	1953300
559	1811980
560	2891580
561	4106060
562	15975100
563	24557200
564	15382100
565	6341040
566	3980350
567	4049810
568	4710700
569	5600750
570	3449380
571	2906150
572	3252250
573	7999740
574	23481500
575	18549200
576	17907700
577	12950800
578	6722110
579	3099470
580	2418480
581	1986300
582	1744870
583	1593520
584	1934080
585	4163180
586	10164000
587	12089600
588	6426550
589	5406610
590	3302550
591	2235990
592	2489130
593	3926360
594	2640760
595	2248450
596	4037510
597	8188550
598	16170400
599	20350100
600	13636200
601	6336630
602	6183810
603	3774370
604	2802780
605	1767960
606	1700260
607	1744190
608	3335550
609	4525200
610	16725700
611	14616400
612	8886140
613	4586150
614	3135190
615	2028010
616	1394720
617	2390980
618	1879330
619	1790710
620	2906610
621	8559910
622	22327600
623	15898400
624	8498500
625	4411860
626	3636360
627	3119000
628	3238960
629	4994760
630	4462860
631	3775390
632	4054380
633	6225850
634	19749300
635	19240700
636	14926200
637	8043040
638	3796160
639	3219710
640	3337020
641	2634640
642	2207180
643	4602020
644	4733770
645	5606560
646	17879400
647	26482600
648	15480700
649	7587240
650	5087360
651	3601870
652	2930430
653	2791650
654	3318220
655	3450860
656	6737750
657	7641950
658	17346600
659	19166000
660	14034500
661	7250640
662	3979250
663	2624620
664	4725340
665	2395910
666	3668190
667	2645980
668	4183170
669	6767150
670	10925400
671	21826300
672	13531700
673	6504350
674	3622470
675	2677740
676	2603560
677	1838300
678	1358690
679	1224020
680	2166610
681	6943280
682	18232100
683	16030100
684	7931650
685	4047940
686	3406110
687	3579170
688	3894730
689	2218530
690	2047800
691	2829860
692	6662610
693	7735640
694	14436600
695	19965200
696	9721480
697	5184380
698	2959120
699	2652510
700	2794430
701	2137850
702	1610250
703	1704420
704	4639840
705	7207780
706	18039200
707	12748200
708	7494710
709	4168040
710	2684960
711	1472360
712	1500720
713	1700340
714	1415580
715	1399590
716	2415140
717	8064540
718	14255400
719	15191300
720	8245690
721	4459000
722	2559550
723	3036000
724	3157310
725	2257860
726	1944410
727	1537670
728	3073440
729	8551100
730	16343700
731	17619000
732	8865850
733	5836960
734	3350360
735	2428660
736	4913160
737	3921950
738	3574410
739	2448290
740	3292750
741	10673400
742	14490900
743	23571800
744	14420000
745	6546250
746	3182200
747	2692890
748	6219500
749	3807220
750	2928510
751	4015240
752	3800750
753	7937230
754	19694700
755	21905600
756	17338200
757	8117710
758	3478680
759	2066090
760	2096700
761	2014430
762	1916010
763	2540180
764	4066460
765	6653020
766	14147100
767	12838900
768	7298040
769	4033940
770	2478960
771	2755380
772	2328670
773	1652680
774	1566960
775	1341880
776	2757490
777	5636280
778	18957000
779	12138000
780	9107300
781	5854140
782	3213350
783	2292120
784	1753310
785	1932260
786	2076290
787	1307110
788	2982730
789	9050880
790	15477800
791	13209800
792	8846450
793	4357010
794	2420760
795	1853610
796	1582980
797	1998340
798	2374820
799	4376100
800	5612350
801	5580170
802	15347200
803	20381600
804	10777300
805	5817080
806	3507420
807	4123620
808	6225050
809	7807530
810	4129280
811	6194100
812	5265260
813	11487200
814	16726600
815	24392800
816	16759700
817	7128590
818	3666710
819	3108580
820	2827700
821	2647670
822	3719660
823	3089610
824	6009320
825	9897850
826	26943700
827	28846500
828	15706100
829	7290660
830	5239250
831	6030680
832	4168540
833	2785530
834	2680120
835	2764980
836	4151730
837	6896870
838	21939700
839	15368000
840	9857450
841	5100690
842	2996130
843	2037450
844	2472800
845	2835630
846	3340170
847	2652400
848	4860460
849	7941460
850	16232600
851	24858500
852	17364600
853	9953100
854	3736510
