"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 969390139.757671 507146.930138717 0 3172413.40324225 517145.930138717 0
1979-08-12 8 2 12 1979 0 457084377.859367 258490.137705467 0 3276544.40526155 268489.137705467 0
1979-08-19 8 3 19 1979 0 227888757.356753 202704.29598253 0 1414163.91808723 212703.29598253 113436.081912765
1979-08-26 8 4 26 1979 0 53219938.2900606 72566.7795184566 0 1466303.0473432 82565.7795184566 144096.952656802
1979-09-02 9 5 2 1979 74974.4267827491 38040268.1194094 146133.656883759 462747.144142847 757736.855857153 53229.7901288501 484800
1979-09-09 9 6 9 1979 64315.9691504568 37784743.0729412 127484.490385337 389413.479475876 874702.520524124 71523.0767582497 181800
1979-09-16 9 7 16 1979 80302.3350682043 37605867.043876 152160.691120812 470535.003047839 837212.996952161 82792.8313170692 181800
1979-09-23 9 8 23 1979 87806.4844989186 37107724.8234363 79211.2574758473 515930.648623231 835449.351376769 9999 181800
1979-09-30 9 9 30 1979 96937.7689445604 36564156.7506053 81355.4139878588 568761.723637106 826250.276362894 9999 181800
1979-10-07 10 10 7 1979 121670.635344173 32583459.9395865 784020.42167311 560029.082333167 869888.517666833 711344.583679273 363600
1979-10-14 10 11 14 1979 127992.261779531 31548971.8168934 351177.303240307 636945.71137668 827877.488623321 301501.356269165 363600
1979-10-21 10 12 21 1979 122963.93996023 30662112.4220875 66481.2053422319 644276.582436629 855452.217563371 45730.724674481 363600
1979-10-28 10 13 28 1979 105251.409095916 29968586.6783209 9598.41852304788 548416.998330112 986217.401669888 9999 363600
1979-11-04 11 14 4 1979 0 29270964.2003525 2203.76484807087 0 1599248.00101969 12202.7648480709 318351.998980312
1979-11-11 11 15 11 1979 13838.0471162418 29051098.8164748 489022.448788904 68735.7358630635 1457172.26413694 484950.999833628 3272400
1979-11-18 11 16 18 1979 0 28254251.667421 62273.4881664244 0 1695030.3991316 72272.4881664244 3044969.6008684
1979-11-25 11 17 25 1979 0 27831746.463161 61588.1880207424 0 1670495.08575119 71587.1880207424 3026304.91424881
1979-12-02 12 18 2 1979 0 26646872.5385483 0 0 1811615.23663372 9999 2841984.76336628
1979-12-09 12 19 9 1979 0 25852795.8642003 419360.85913449 0 1732195.78816276 429359.85913449 1573220.41183724
1979-12-16 12 20 16 1979 0 24655038.9114518 15760.8007227438 0 1681912.39064523 25759.8007227438 1703298.40935477
1979-12-23 12 21 23 1979 7600.78382395722 23980301.3673634 10370.6394454003 39353.1107019188 1617450.88929808 19077.4600066287 1824605.4
1979-12-30 12 22 30 1979 15963.0009340351 23341819.7644998 5194.03376923683 81306.0379639361 1662761.96203606 12482.7587135736 1454400
1980-01-06 1 23 6 1980 41445.4531037257 25950945.1131594 7269798.0404073 236170.368565434 1511291.23143457 7111624.94262585 727200
1980-01-13 1 24 13 1980 33727.4121572576 24474992.9054687 6376718.08999792 196027.343712849 1554827.85628715 6246122.38996856 727200
1980-01-20 1 25 20 1980 65809.2666521749 23481616.782213 5529573.44317566 398985.064203818 1355263.73579618 5254650.84949492 727200
1980-01-27 1 26 27 1980 60501.6225206382 22291531.1860106 4527976.65093878 380821.328910747 1376821.07108925 4268462.01702061 727200
1980-02-03 2 27 3 1980 36622.4241144666 21133461.7280421 3728060.65380026 217044.249766469 1543991.75023353 3586549.88272122 727200
1980-02-10 2 28 10 1980 14317.3390695518 20079721.4839994 4180536.93567375 68348.1886050603 1579365.81139494 4143446.17551585 969600
1980-02-17 2 29 17 1980 0 19052899.5674299 3284027.36271164 0 1555785.83502432 3294026.36271164 933014.164975679
