"date" "month" "week" "day" "year" "MICAA" "REVEL" "ARROW" "DUNCA" "LIBBY" "BONFE" "CORRA" "FLASF" "FLAPO" "NOXON" "CABIN" "ALBEN" "BOUND" "GCOUL" "CHIEF" "WELLS" "ROCKY" "RISLA" "WANAP" "PRIRA" "UpSnake" "MdlSnake" "BROWN" "OXBOW" "HCANY" "DWORS" "LGRAN" "LGOOS" "LMONU" "ICEHA" "MCNAR" "JDAYY" "DALLE" "BONNE"
1979-08-05 8 1 5 1979 747241.319399529 847335.956899529 873540.092611428 31464.0538999999 292590.397510051 300495.188754841 372864.08711084 190783.176799991 246924.291439641 221167.80342 231086.483895021 392812.987874462 396514.816689772 1799116.19678953 1871853.15449453 1874244.56871453 1895397.78435053 1912944.53936353 1898395.32661853 1890639.48847453 60150.5294110002 131844.029541 433208.226739749 428940.248274759 424494.479397459 176593.030952541 694190 692983.5337321 523485.724650559 521132.854986559 2331244.13982109 2306940.51954109 2386556.55938109 2471882.86367609
1979-08-12 8 2 12 1979 390318.358462297 476113.922162297 1008835.51191373 34805.73431 347478.562725515 351062.148220465 424555.940889864 180571.254852124 226869.782002724 208767.520295 212400.472944216 368269.96145044 368686.32376575 2067830.02605211 2139616.88389971 2141187.85542971 2158879.75152171 2174784.24780571 2159762.34988281 2152483.08625881 69004.0226409999 157358.499521 458936.331433031 453289.035419783 446169.455550083 166778.620479917 694190 691708.9358642 526732.625818283 524127.748066283 2586316.2032351 2559019.3024651 2636835.9528851 2736214.2068511
1979-08-19 8 3 19 1979 41651.4 95512.8132 110819 51067.6453805222 206839.293104534 210197.591260354 293801.304792076 64982.0133056854 109349.120849225 217739.6415976 221009.9256976 256882.388452225 256168.703687515 807248.992739338 869983.862859738 881801.985690738 893467.264798738 904713.572734738 886929.178541938 882532.677852938 77860.9267421998 219518.508402199 554834.844112369 545474.75555049 529560.93682259 198665.642077292 785994.521346882 764785.602178072 552978.22658278 533201.15519678 1338357.32187972 1291439.99600572 1357077.38180572 1436730.65353272
1979-08-26 8 4 26 1979 246410.5664262 284455.7358262 315578.1664262 52212.2507894777 77515.0035646996 80304.6380020596 173740.765724037 7843.989057941 69804.4498699999 204294.77753 206797.595138235 200286.451854335 198279.738999615 720251.0719909 785831.9472082 830171.4222172 839306.3028812 848700.0945032 827385.9910899 818866.8479909 61940.2281225999 166658.7353026 503321.613476491 498277.793909238 492276.910137238 135870.854025367 742801.708902605 750786.727578105 634696.527991739 643791.943467739 1402067.66368864 1390611.11346464 1469239.11839064 1568550.60820664
1979-09-02 9 5 2 1979 149615.163493852 181200.276193852 293757.190276601 43134.30798 84850.4956619002 91358.0880927202 175732.3976619 56356.6742695728 98281.6869733729 188266.980369 194908.485019601 237019.101277274 239515.850590204 792604.464288695 855690.910534095 891426.155297095 907464.220639095 917890.314575095 905132.350366995 902200.797704995 52321.5523358001 121767.2817158 152029.69543096 147403.702264206 140600.295395006 39536.1737753316 269410.516650337 269743.405681107 228014.297734776 228780.267124776 1067641.57173977 1073426.79339477 1146983.97702477 1209086.72942077
1979-09-09 9 6 9 1979 131965.312820739 202890.615820739 246548.881971196 63121.3609699998 78472.0334475003 89530.7810413983 209994.885846428 51440.6841445366 79579.6999930627 136553.030468 146304.734682337 189954.15062598 194501.20186842 802561.466653246 831340.643092146 885789.582979146 875648.971586246 879388.161574246 847334.001030846 839799.720403846 46163.0958395 91524.2246594997 370803.3260295 368824.632754949 365259.183308149 37405.5800432784 488824.007720427 491409.492363047 435008.957525369 437057.685276469 1234378.35849031 1236367.01611731 1302208.09549331 1273081.15536921
1979-09-16 9 7 16 1979 151799.320718007 221338.442118007 282369.255786211 40676.7548499999 67591.7905572997 72935.7134688097 172358.0215573 60888.9317953187 84006.5542676327 113779.354212 121484.520994057 168029.12879389 172467.902984801 793604.062493845 854730.892453345 873789.221616345 889600.845547345 902861.880759345 897085.158293945 898771.301505946 42696.5308010001 86385.1213809997 348819.911871 346529.547649441 342381.328615641 39060.7177288906 438515.511365531 438473.667480281 376772.724456391 376453.123305391 1284834.32454134 1315210.31216134 1372143.35814134 1345841.60384634
1979-09-23 9 8 23 1979 163649.130224385 206521.869624385 301723.214723304 20618.2169900128 59293.4620893304 63563.9940984904 145942.299079343 70438.8527530066 85938.6174098267 104675.19955 111618.170631285 159888.700129912 164144.18210084 793408.62241678 847457.13620068 850898.05654468 879690.71483768 895907.47365168 905472.97125528 913729.44975928 40609.285495 88925.8582250001 338860.749725 336628.368645253 333091.612640153 39859.868599813 420592.118117966 420180.906105776 357358.202923963 356617.700787963 1327573.66476724 1389448.67733724 1450011.22595724 1433584.29267524
1979-09-30 9 9 30 1979 177732.515645026 220678.785445026 324937.884589587 23070.6996839088 65781.5675541991 69066.2823136691 154882.887238108 74477.8878468864 90490.7239693414 116971.431909 123392.409368298 172758.263816439 176390.692147589 886923.749249804 915865.873333004 911521.568486004 918796.721079004 924598.762863004 917357.138425904 915536.278880904 44639.5146079999 107385.706058 367633.498458 364576.245338485 358182.021057785 40743.7468271894 442499.869019975 437519.738539035 370269.929730845 367163.582372045 1263593.86651295 1291581.45467295 1340126.48851495 1323423.74459195
1979-10-07 10 10 7 1979 197998.477845945 230162.891405945 658636.375060258 32966.3102184554 70478.2390444129 71072.3827565829 169475.169262868 39680.067674353 54004.818833 132336.469618 136819.080778 162166.81311084 172150.776560421 1232533.03218965 1270178.96031255 1274023.20969155 1269280.88602155 1269763.07355955 1256001.99206735 1249644.47527115 37587.4392724 118257.0959964 321120.5632584 321077.040565416 320990.429698804 41219.4049579129 476031.457077717 478899.436683477 399811.864427064 402245.383278674 1636333.22408983 1677909.06492483 1754351.72074783 1720140.84606583
