time	ModLittleGooseFlowData
533	2049010
534	2131770
535	1608210
536	2212570
537	2437900
538	4904950
539	3492540
540	1554740
541	1057710
542	1175020
543	1487480
544	2661260
545	2990290
546	4771920
547	3087570
548	4921570
549	7746910
550	8893390
551	14018600
552	4544100
553	1996850
554	1343270
555	2001270
556	1590290
557	1586580
558	1969550
559	1983990
560	3089440
561	3773790
562	8110140
563	11194700
564	5821800
565	2231460
566	1678010
567	2501070
568	2227920
569	3802980
570	2891140
571	2381510
572	3081740
573	6548000
574	11118900
575	7773840
576	3097550
577	2053370
578	2026850
579	1696970
580	1473920
581	1405710
582	1388240
583	1357990
584	1396180
585	2162780
586	3023740
587	2453070
588	1147850
589	924738
590	1079400
591	1391660
592	1650470
593	3408290
594	2222840
595	2259530
596	3696970
597	5406900
598	6766540
599	6824600
600	3496790
601	1617250
602	1635130
603	1657590
604	1421300
605	1429080
606	1395000
607	1944420
608	3277830
609	3579540
610	7505350
611	4309170
612	1695700
613	1181190
614	1055060
615	1198670
616	1314450
617	1461580
618	1798870
619	1992450
620	2445000
621	4212450
622	7430530
623	6093240
624	2520130
625	1289790
626	1408570
627	1246360
628	1698490
629	2722440
630	2311470
631	2727540
632	2398130
633	3509050
634	5646310
635	6626630
636	2261670
637	1270210
638	1053250
639	1407370
640	1698690
641	2149090
642	2168240
643	4669230
644	4860410
645	6066080
646	9572740
647	10261500
648	5244380
649	1985060
650	1663610
651	2452250
652	2041270
653	2315520
654	3144750
655	3644640
656	6126210
657	5062730
658	8185100
659	7620110
660	3834560
661	2127830
662	1565040
663	2095070
664	2629870
665	2300520
666	3270170
667	2984820
668	5847140
669	6896100
670	10090000
671	11046600
672	4176390
673	2194110
674	1848870
675	2231160
676	2185570
677	1970180
678	1751770
679	1734660
680	2673370
681	6124420
682	7090920
683	4574620
684	1562260
685	1289700
686	1637100
687	1789760
688	1986500
689	1601790
690	2517240
691	5013850
692	7144000
693	6576000
694	7582740
695	6785930
696	2092430
697	1357930
698	1755930
699	2023130
700	1854010
701	1761920
702	1595710
703	1771980
704	2839050
705	3228290
706	4214990
707	2098220
708	1271020
709	1000460
710	914037
711	1041920
712	1168000
713	1179290
