time	ModDworshakFlowData
598	831168
599	645407
600	232104
601	110195
602	65216
603	70782
604	75324
605	60253
606	64070
607	154091
608	405677
609	600899
610	1.34E+06
611	582750
612	161695
613	82922
614	53702
615	73588
616	43646
617	124984
618	111278
619	182571
620	274636
621	635530
622	834159
623	516701
624	189934
625	93274
626	64115
627	63153
628	93933
629	387984
630	314592
631	408761
632	313329
633	530268
634	752246
635	730646
636	263405
637	108824
638	47484
639	97810
640	137251
641	221967
642	148119
643	601390
644	596132
645	640915
646	1.34E+06
647	1.17E+06
648	349225
649	126683
650	67239
651	112930
652	110379
653	166862
654	232073
655	330880
656	548041
657	451425
658	842200
659	622052
660	285076
661	123107
662	63104
663	90904
664	228990
665	159416
666	270165
667	237610
668	467977
669	614614
670	992282
671	966460
672	275962
673	111449
674	59028
675	101470
676	181992
677	114509
678	61767
679	90206
680	183869
681	856437
682	1.18E+06
683	740465
684	137511
685	70988
686	138435
687	167305
688	270665
689	122473
690	129351
691	477978
692	895712
693	724845
694	800899
695	379753
696	125880
697	70464
698	46770
699	80397
700	140441
701	87117
702	66083
703	124161
704	380023
705	563500
706	606135
707	212547
708	104370
709	61922
710	15382
711	35782
712	35405
713	39237
714	82897
715	99054
716	248884
717	603993
718	551395
719	314209
720	117439
721	51425
722	34215
723	68459
724	132116
725	91055
726	80790
727	75151
728	353885
729	933524
730	921344
731	592419
732	155912
733	79170
734	57719
735	73443
736	164040
737	210320
738	242281
739	182504
740	373356
741	942182
742	783523
743	754597
744	236214
745	111403
746	12407
747	107561
748	335950
749	149870
750	133439
751	420003
752	358815
753	612591
754	933907
755	714967
756	303683
757	79297
758	13478
759	64688
760	119612
761	138404
762	110036
763	273243
764	389698
765	507269
766	550152
767	198623
768	135665
769	83613
770	102227
771	81518
772	122927
773	81687
774	75794
775	87470
776	413452
777	580756
778	1.07E+06
779	397693
780	183412
781	117712
782	79051
783	86469
784	73003
785	92707
786	139221
787	82204
788	263641
789	556538
790	485925
791	270385
792	73305
793	63116
794	54892
795	75215
796	96906
797	121294
798	203138
799	639159
800	544370
801	420929
802	678870
803	481326
804	153339
805	63867
806	61081
807	167614
808	651497
809	871047
810	415598
811	932798
812	474425
813	1.04E+06
814	1.08E+06
815	769235
816	214612
817	65553
818	66347
819	94345
820	133376
821	192518
822	358554
823	295599
824	612091
825	1.06E+06
826	1.97E+06
827	1.27E+06
828	388990
829	115784
830	114574
831	144211
832	201299
833	149134
834	182014
835	225723
836	360513
837	514767
838	951768
839	441309
840	127128
841	71268
842	76314
843	75022
844	166363
845	232497
846	293459
847	233624
848	523627
849	615298
850	1.02E+06
851	1.10E+06
852	371028
853	109253
854	73071
