time	ModLowerGraniteFlowData
533	2050300
534	2131280
535	1608490
536	2212430
537	2439860
538	4909040
539	3487570
540	1551750
541	1057090
542	1176270
543	1487480
544	2664480
545	2991060
546	4777110
547	3086790
548	4931030
549	7749950
550	8898310
551	14015700
552	4528510
553	1995000
554	1343710
555	2001470
556	1590270
557	1587040
558	1969840
559	1985250
560	3092750
561	3779260
562	8119280
563	11190700
564	5809310
565	2231150
566	1676930
567	2503590
568	2228330
569	3805410
570	2890630
571	2382720
572	3083780
573	6553270
574	11126400
575	7763750
576	3089970
577	2052960
578	2027290
579	1696500
580	1473840
581	1405670
582	1387970
583	1357860
584	1396330
585	2167690
586	3022620
587	2448970
588	1147220
589	925384
590	1080770
591	1391300
592	1653230
593	3409380
594	2222690
595	2262040
596	3705990
597	5409340
598	6762810
599	6824070
600	3488310
601	1615770
602	1635910
603	1657230
604	1421350
605	1428320
606	1395950
607	1946850
608	3282220
609	3583970
610	7506710
611	4300810
612	1691750
613	1182420
614	1054200
615	1199230
616	1313460
617	1462110
618	1799330
619	1997460
620	2442600
621	4226130
622	7428520
623	6087140
624	2514160
625	1288630
626	1409880
627	1245710
628	1699000
629	2730250
630	2306340
631	2729960
632	2398240
633	3517830
634	5650420
635	6616580
636	2256140
637	1269650
638	1054290
639	1407520
640	1698840
641	2149960
642	2169570
643	4677020
644	4860680
645	6073730
646	9574480
647	10264800
648	5226690
649	1982870
650	1665480
651	2453090
652	2041720
653	2315040
654	3146840
655	3649190
656	6128810
657	5063650
658	8201960
659	7602700
660	3826170
661	2126610
662	1564980
663	2098360
664	2629390
665	2301840
666	3272460
667	2981910
668	5853890
669	6899400
670	10110100
671	11033900
672	4160430
673	2192840
674	1848870
675	2232860
676	2185520
677	1969740
678	1750900
679	1735250
680	2675840
681	6129960
682	7095480
683	4562870
684	1559680
685	1289740
686	1638080
687	1791430
688	1985750
689	1601130
690	2520840
691	5029050
692	7141410
693	6572460
694	7599930
695	6762870
696	2088360
697	1357640
698	1758010
699	2023370
700	1854720
701	1760340
702	1595020
703	1771740
704	2840810
705	3239920
706	4206250
707	2093760
708	1270360
709	1000160
710	914543
711	1042750
712	1167360
713	1179270
714	1159170
715	1284800
716	1882550
717	3549580
718	4664870
719	3482870
720	1313770
721	917915
722	875479
723	1026300
724	1408670
725	1328140
726	1206030
727	1133620
728	3855470
729	5868650
730	6085820
731	4932830
732	1775450
733	1261450
734	1163240
735	1308360
736	1543100
737	1475380
738	1531640
739	1355000
740	2280120
741	4456470
742	4555290
743	4958570
744	1709000
745	1114710
746	946942
747	1275300
748	1694830
749	1259040
750	1507600
751	1900980
752	1966900
753	2694570
754	5360960
755	5068470
756	2232430
757	1014450
758	957237
759	1041050
760	1386500
761	1391570
762	1243880
763	1733260
764	2210140
765	2787450
766	3688800
767	1628740
768	1197490
769	718619
770	799462
771	992209
772	1198560
773	1125010
774	1161500
775	1121280
776	3672250
777	4389120
778	8702760
779	6144980
780	2490290
781	1661230
782	1199480
783	1310750
784	1213570
785	1317510
786	1455950
787	1119910
788	2140480
789	3475290
790	4355320
791	2577880
792	1287460
793	881173
794	808299
795	1071260
796	1184430
797	1357070
798	1863330
799	3240460
800	3622750
801	3568500
802	7396020
803	7304980
804	3467240
805	1451000
806	1235660
807	1650980
808	2955880
809	4519600
810	3172460
811	5902720
812	5230250
813	7416220
814	8977000
815	9037790
816	3142640
817	1486050
818	1306490
819	1418290
820	1813520
821	2574950
822	5555040
823	4632310
824	6187380
825	7465610
826	12287600
827	10927400
828	3767800
829	1861540
830	1878830
831	2029070
832	2119110
833	1963740
834	2147450
835	2278100
836	3521930
837	4410450
838	9497920
839	6990050
840	3038120
841	1411910
842	1428360
843	1498640
844	1863040
845	2403770
846	2875340
847	2577640
848	5248210
849	5455010
850	7873980
851	9521370
852	3171380
853	1557760
854	1248630
