"date" "month" "week" "day" "year" "BRPrelim_c" "TotalFloodSpace_c" "TotalRelReducReq" "ARPrelim" "ARCombSup" "AREnergySup" "ARMcNarySup" "ARSharedWater" "ARECCSharedWater" "AR_CRT_SOA_storage" "AR_CRT_storage" "AR_CRT_release" "MI_CRT_storage" "MI_CRT_release" "MIMcNarySup" "MI_CRT_SOA_storage" "MIRelReducReq" "ARRelReducReq" "TotalMcNarySharedWater_c" "BRIn" "GCIn"
1979-08-05 8 1 5 1979 433208.226739749 52064.25 0 69419 173323.061600243 0 0 5901491.1732119 98531.1732118996 0 1297000 0 1500000 NA 173323.061600243 0 0 0 1837804.2378936 406361.650361 363625.265460921
1979-08-12 8 2 12 1979 458936.331433031 154807.604337851 0 69419 276412.10692424 0 59595.0889900997 16839636.8510834 0 0 1297000 0 1500000 NA 216817.01793414 0 0 0 410342.562509434 369987.810601 368284.051562376
1979-08-19 8 3 19 1979 554834.844112369 301012.28363881 0 69419 240580.2906974 0 35240.8074558796 12284874.3217133 0 0 1297000 0 1500000 NA 205339.483241521 0 0 0 315407.8277572 589342.349372199 415787.02610391
1979-08-26 8 4 26 1979 495716.597576386 168814.130350368 0 69419 288618.15164302 0 83858.9852168197 20027146.6034022 0 0 1297000 0 1500000 NA 204759.1664262 0 0 0 364133.15520772 449270.6340126 376989.525404026
1979-09-02 9 5 2 1979 159634.711331066 527912.179320173 0 69419 242002.812301051 72830.0050055799 0 5817833.23552438 14873.2355243796 0 1297000 0 1500000 NA 0 0 0 0 255926.538481751 378838.2668458 434376.015725068
1979-09-09 9 6 9 1979 370803.3260295 542811.8953537 0 69419 203232.598548113 87492.2675844068 0 5894631.97588223 91671.9758822303 0 1297000 0 1500000 NA 0 0 0 0 262491.580686962 370803.3260295 362167.158016465
1979-09-16 9 7 16 1979 348819.911871 514831.07363533 0 69419 283469.193164838 161287.589104757 0 6009252.01097242 206292.01097242 0 1297000 0 1500000 NA 0 0 0 0 365460.330764941 348819.911871 288521.008349168
1979-09-23 9 8 23 1979 338860.749725 746546.662641737 0 69419 203064.996100219 84360.5998580086 0 5808522.5449723 5562.5449722996 0 1297000 0 1500000 NA 0 0 0 0 91988.6532696569 338860.749725 321649.339331013
1979-09-30 9 9 30 1979 367633.498458 801902.530432184 0 69419 225753.569666988 93298.5606768855 0 5728839.51608417 0 0 1297000 0 1500000 NA 0 0 0 0 58541.1116405241 367633.498458 255935.472297248
1979-10-07 10 10 7 1979 321120.5632584 760149.443834816 0 69419 626093.138597559 468637.921134452 0 7000981.28733809 1212638.05533809 0 0 0 0 NA 0 0 0 0 0 321120.5632584 301018.311990421
1979-10-14 10 11 14 1979 285247.961790145 1067954.54296279 0 69419 634141.465529167 451957.342010962 0 6545660.42360269 757317.191602694 0 0 0 0 NA 0 0 0 0 0 285247.961790145 333205.8596591
1979-10-21 10 12 21 1979 338516.901486268 1985808.65328564 0 69419 530487.071394648 343553.808307642 0 6131897.04030764 343553.808307642 0 0 0 0 NA 0 0 0 0 0 338516.901486268 297965.205547889
1979-10-28 10 13 28 1979 533147.567418992 1508203.69713568 0 69419 266002.677329249 105228.742953786 0 5838140.56091 49797.3289099997 0 0 0 0 NA 0 0 0 0 0 533147.567418992 375496.04139054
1979-11-04 11 14 4 1979 337120.3664145 587670.435767576 0 69419 11551.6126462137 11551.6126462137 0 5799894.84464621 11551.6126462137 0 0 0 0 NA 0 0 0 0 0 337120.3664145 487563.061023084
1979-11-11 11 15 11 1979 285563.9929 1815150.73813487 0 69419 506121.592197782 495851.5724 0 5764325.8424 495851.5724 0 0 0 0 NA 0 0 0 0 0 285563.9929 376569.120960584
1979-11-18 11 16 18 1979 249099.402 654937.790080501 0 69419 0 0 0 5236765.71875 0 0 0 0 0 NA 0 0 0 0 0 249099.402 343375.602355164
