"date" "month" "week" "day" "year" "ARFirmEngSupReq" "TotalEnergyContent" "TotalECCEnergyContent" "FirmEnergyDeficit" "TotalCoordPreEnergy" "TotalNFEnergyContent" "NonFirmEnergyDeficit"
1979-08-05 8 1 5 1979 0 471814084.575775 473852.440620807 0 3381457.4177539 483851.440620807 0
1979-08-12 8 2 12 1979 0 145823887.281306 258430.618147227 0 1596945.98128675 268429.618147227 0
1979-08-19 8 3 19 1979 0 126344916.978633 202681.365463149 0 1465564.49343036 212680.365463149 62035.5065696435
1979-08-26 8 4 26 1979 0 126871023.115618 108061.134055772 0 1548010.07899659 118060.134055772 62389.9210034122
1979-09-02 9 5 2 1979 72830.0050055799 36517081.066952 478437.539865679 461944.008101968 758539.991898031 207780.768982002 484800
1979-09-09 9 6 9 1979 63642.6072884992 36195631.1178844 429098.567695572 389371.022121216 874744.977878784 213660.871774124 181800
1979-09-16 9 7 16 1979 80200.3779270728 35920850.2877 546605.383513991 470546.699781075 837201.300218925 282701.286117888 181800
1979-09-23 9 8 23 1979 84360.5998580086 35308690.9010455 243047.963907937 515844.878471039 835535.121528961 17176.4699186441 181800
1979-09-30 9 9 30 1979 93298.5606768855 34736763.993944 192515.179475545 568850.19439132 826161.80560868 10959.3421823802 181800
1979-10-07 10 10 7 1979 132004.423868859 33625483.9337678 1236872.51175914 560287.138386325 869630.461613676 1167199.31793422 363600
1979-10-14 10 11 14 1979 139605.240853293 32555567.8006322 775787.037548055 637169.119957635 827654.080042365 719060.523236591 363600
1979-10-21 10 12 21 1979 130856.09758007 31533591.2651455 363735.360920642 644582.096768822 855146.703231178 331008.555559159 363600
1979-10-28 10 13 28 1979 105228.742953786 30628381.6650426 70796.136781905 548653.187287532 985981.212712468 56372.8822812765 363600
1979-11-04 11 14 4 1979 0 30147243.8919709 23359.9852308321 0 1632351.90483801 33358.9852308321 285248.095161991
1979-11-11 11 15 11 1979 7105.88459453227 30141131.5697543 641183.670393002 34940.7956285512 1490967.20437145 644305.366655494 3272400
1979-11-18 11 16 18 1979 0 29410989.5660321 62276.0234255587 0 1729478.47764295 72275.0234255587 3010521.52235705
1979-11-25 11 17 25 1979 0 29220653.1734387 61621.1066410123 0 1705742.85992338 71620.1066410123 2991057.14007662
1979-12-02 12 18 2 1979 0 28219143.5079339 0 0 1847802.09282788 9999 2805797.90717212
1979-12-09 12 19 9 1979 0 27601046.2947512 573851.239694064 0 1769139.58618594 583850.239694064 1536276.61381406
1979-12-16 12 20 16 1979 0 26417995.5253246 26414.622366898 0 1719519.98269745 36413.622366898 1665690.81730255
1979-12-23 12 21 23 1979 193.6680211448 25901772.2643992 10405.1849144985 1066.52722631837 1655737.47277368 20371.6538348572 1809267.92722632
1979-12-30 12 22 30 1979 7515.89517403789 25433668.8940604 5215.52258907439 40706.6367542925 1703361.36324571 13951.6807661739 1454400
1980-01-06 1 23 6 1980 29454.3512213714 28358523.2741268 9370677.91407713 167201.838843338 1580259.76115666 9259162.9644507 727200
1980-01-13 1 24 13 1980 27800.1189631654 26817695.9185379 8508595.94516089 155792.10543083 1595063.09456917 8404632.61290722 727200
1980-01-20 1 25 20 1980 65488.3115202368 25562116.2657784 7670672.18714595 365018.189713616 1389230.61028638 7413634.51725258 727200
1980-01-27 1 26 27 1980 61926.2729609083 24395095.7416274 6676525.26366708 346981.034495243 1410661.36550476 6435062.11615972 727200
1980-02-03 2 27 3 1980 32709.9828915312 23121449.897056 5700472.14092384 183270.564923153 1577765.43507685 5578507.25866078 727200
